patientDerivedModelId,modelSystemType,patientDiagnosis,hostStrain,passageNumber,tumorType,engraftmentSite,establishmentRate,molecularCharacterization,clinicalData,humanizationMethod,immuneSystemComponents,validationMethods,_modelName,_pmid,_doi,_publicationTitle,_foundIn,_confidence,_contextSnippet,_whyMissed,_reasoning,_source,_completenessScore,_criticalFieldsScore,_missingCriticalFields,_hasMinimumFields
9a44e9ab-c43a-424b-aa45-7a65a56e1bd7,,,,,,,,,,,,,Human neurofibroma xenografts,PMID:15240917,,Survival of Human Neurofibroma in Immunodeficient Mice and Initial Results of Therapy With Pirfenidone.,methods,1.0,Two hundred twelve human neurofibromas were transplanted into various locations in 59 experimental animals...Human neurofibromas were obtained from four patients with neurofibromatosis,"Patient-derived xenograft model - human tumor tissue transplanted into mice, classic PDX model",,AI validation - Sonnet 4.5,0,0,,
e1bb813c-f296-40ce-a148-1ca947df2313,,,,,,,,,,,,,WU-356 PDX,PMID:18242512,,Induction of abnormal proliferation by nonmyelinating schwann cells triggers neurofibroma formation.,methods,1.0,The WU-356 and WU-386 MPNST PDX lines were described previously and maintained through passage in mice,Patient-derived xenograft model with clear PDX designation,,AI validation - Sonnet 4.5,0,0,,
0db7bf5f-cc8d-4080-b0f2-59686e781057,,,,,,,,,,,,,WU-386 PDX,PMID:18242512,,Induction of abnormal proliferation by nonmyelinating schwann cells triggers neurofibroma formation.,methods,1.0,The WU-356 and WU-386 MPNST PDX lines were described previously and maintained through passage in mice,Patient-derived xenograft model with clear PDX designation,,AI validation - Sonnet 4.5,0,0,,
7d2b763d-7051-4621-975e-0aee5953508b,,,,,,,,,,,,,vestibular schwannoma xenografts,PMID:18636037,,The ErbB inhibitors trastuzumab and erlotinib inhibit growth of vestibular schwannoma xenografts in nude mice: a preliminary study.,abstract,1.0,...To analyze the ability of ErbB inhibitors to reduce the growth of vestibular schwannoma (VS) xenografts. METHODS: Vestibular schwannoma xenografts were established...,Patient-derived xenograft model not recognized by current patterns,,AI validation - Sonnet 4.5,0,0,,
a6bd086a-3f26-41e1-a0b1-dbdb57df01b2,,,,,,,,,,,,,Patient-derived xenograft model,PMID:18931645,,Bioluminescent imaging of intracranial vestibular schwannoma xenografts in NOD/SCID mice.,methods,1.0,...Patient excised vestibular schwannomas were cultured and transduced with firefly luciferase expressing lentivirus. One million cells were stereotactically injected...,PDX model establishment described but not recognized as a formal tool type,,AI validation - Sonnet 4.5,0,0,,
19a6d6c4-b506-4aba-8786-d889cd1e4193,,,,,,,,,,,,,Vestibular schwannoma cell cultures,PMID:18931645,,Bioluminescent imaging of intracranial vestibular schwannoma xenografts in NOD/SCID mice.,methods,0.8,...Patient excised vestibular schwannomas were cultured and transduced...,Patient-derived primary cell cultures not recognized as model system,,AI validation - Sonnet 4.5,0,0,,
bf86a161-eee4-4a9e-8c33-b2d8b3e8fa98,,,,,,,,,,,,,primary human MPNST xenografts,PMID:23328114,,Genomic imbalance of HMMR/RHAMM regulates the sensitivity and response of malignant peripheral nerve sheath tumour cells to aurora kinase inhibition.,methods,1.0,"One sporadic (SP-MPNST) and one hereditary (NF1-MPNST) primary, human MPNST were separately transplanted orthotopically",Patient-derived xenograft models not detected,,AI validation - Sonnet 4.5,0,0,,
d7033f19-be88-4f78-b21f-266e651daf60,,,,,,,,,,,,,tumor xenograft models,PMID:24848258,,Merlin deficiency predicts FAK inhibitor sensitivity: a synthetic lethal relationship.,abstract,0.9,"Our data demonstrate that low Merlin expression predicts for increased sensitivity of MPM cells to a FAK inhibitor, VS-4718, in vitro and in tumor xenograft models",Xenograft models mentioned but no specific model names or details provided,,AI validation - Sonnet 4.5,0,0,,
cd77d244-2bb3-4f93-99e7-69b96b2ed785,,,,,,,,,,,,,PNF xenografts,PMID:25340526,,Nilotinib is more potent than imatinib for treating plexiform neurofibroma in vitro and in vivo.,methods,0.95,"The xenografting of fragments of PNF was carried out as described previously [17], [19]. Briefly, a small incision was made into the skin to expose the right sciatic nerve and an incision was made into the sciatic nerve, under which one tumor piece was orthtopically implanted",Patient-derived xenograft model establishment was not recognized,,AI validation - Sonnet 4.5,0,0,,
1f7c46fa-2a3e-47a7-bdf9-3ea74338c4e9,,,,,,,,,,,,,patient-derived schwannomas,PMID:29440379,,Targeting the cMET pathway augments radiation response without adverse effect on hearing in NF2 schwannoma models.,abstract,0.85,"Using organoid brain slice culture, cMET blockade inhibited the growth of patient-derived schwannomas.",Patient-derived model not detected - may need patterns for 'patient-derived [tumor type]',,AI validation - Sonnet 4.5,0,0,,
318baf19-a3a7-4f5b-a5aa-be93de5e5254,,,,,,,,,,,,,NF191,PMID:29670214,,Restoring functional neurofibromin by protein transduction.,methods,0.9,"Skin samples of NF1 patients (NF191 – NF329, aged 8–40 years) derived from NF1 patients",Patient-derived primary fibroblast lines not caught by PDX patterns,,AI validation - Sonnet 4.5,0,0,,
12198591-1562-49c9-b788-9a99f13c8d8f,,,,,,,,,,,,,NF244,PMID:29670214,,Restoring functional neurofibromin by protein transduction.,methods,0.9,fibroblasts of the 2 different patients NF191 and NF244 (3 independent experiments each),Patient-derived primary fibroblast lines not caught by PDX patterns,,AI validation - Sonnet 4.5,0,0,,
5f5a8925-37ca-45c8-87ea-ac33b6cd36f4,,,,,,,,,,,,,patient-derived xenografts,PMID:29704429,,Insights into optic pathway glioma vision loss from mouse models of neurofibromatosis type 1.,abstract,0.9,...A paucity of surgical tumor specimens and of patient-derived xenografts for investigative studies has limited our understanding...,Standard PDX terminology should have been caught. May indicate gap in patient-derived model patterns.,,AI validation - Sonnet 4.5,0,0,,
770f918a-3bba-4dd2-8999-825d39fd7c77,,,,,,,,,,,,,MPNST-NF1-09,PMID:35511749,,A High-Throughput Screening Platform Identifies Novel Combination Treatments for Malignant Peripheral Nerve Sheath Tumors.,abstract,0.95,significantly reduced tumor growth in a sporadic PDOX model (MPNST-SP-01; sevenfold) and in an NF1-PDOX model (MPNST-NF1-09; fourfold),Specific PDOX model identifier not recognized by mining patterns,,AI validation - Sonnet 4.5,0,0,,
ac2888d4-8a29-4fe6-8582-37a0f199c21c,,,,,,,,,,,,,MPNST-PDX models,PMID:37246765,,Ex vivo to in vivo model of malignant peripheral nerve sheath tumors for precision oncology.,methods,1.0,We developed 13 NF1-associated MPNST-PDX and identified mutations,PDX model terminology not captured,,AI validation - Sonnet 4.5,0,0,,
0d963382-2e19-43e3-9122-64d44f88ad10,,,,,,,,,,,,,RHT92,PMID:41022755,,Development of an adeno-associated virus vector for gene replacement therapy of NF1-related tumors.,methods,0.95,"Human MPNST cell line ST88-14, S462 and a patient-derived xenoline RHT92 were kindly provided by Melissa L. Fishel",Patient-derived xenoline not caught by PDX mining patterns,,AI validation - Sonnet 4.5,0,0,,
ba9d54e4-f714-473b-9df8-ab6e6273e035,,,,,,,,,,,,,JH-2-002,PMID:41022755,,Development of an adeno-associated virus vector for gene replacement therapy of NF1-related tumors.,methods,0.98,JH-2-002 and JH-2-031 patient-derived xenografts (PDX) were obtained from the Johns Hopkins NF1 biospecimen repository,PDX model identifier not caught by PDX mining patterns,,AI validation - Sonnet 4.5,0,0,,
1a379db6-9578-4273-a41f-28369136f531,,,,,,,,,,,,,JH-2-031,PMID:41022755,,Development of an adeno-associated virus vector for gene replacement therapy of NF1-related tumors.,methods,0.98,JH-2-002 and JH-2-031 patient-derived xenografts (PDX) were obtained from the Johns Hopkins NF1 biospecimen repository,PDX model identifier not caught by PDX mining patterns,,AI validation - Sonnet 4.5,0,0,,
3cdbede6-be1f-4872-afdf-650e4388c75a,,,,,,,,,,,,,patient-derived xenograft,PMID:41023593,,Selective inhibition of BRAF and CRAF sensitizes NF1-deficient malignant peripheral nerve sheath tumors to MEK inhibitors.,abstract,1.0,"efficacy studies in cell-line-derived and patient-derived xenograft models, and immunoblotting/immunohistochemistry were conducted",PDX models mentioned multiple times but not detected,,AI validation - Sonnet 4.5,0,0,,
8792b059-3abb-48ce-bc6e-173435aa9ae2,,,,,,,,,,,,,patient-derived xenograft (PDX) MPNST model,PMID:41036607,,Pharmacogenomic Synthetic Lethal Screens Reveal Hidden Vulnerabilities and New Therapeutic Approaches for Treatment of NF1-Associated Tumors.,methods,1.0,"For the patient-derived xenograft (PDX) MPNST model, tumor tissue was implanted subcutaneously directly into NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ mice",PDX model system for MPNST research,,AI validation - Sonnet 4.5,0,0,,
d3e47f82-8768-4817-b136-5a7c95b6a035,,,,,,,,,,,,,plexiform neurofibroma xenograft mouse models,PMID:41680443,,Proof-of-principle of NF1 gene therapy in plexiform neurofibroma xenograft mouse models.,abstract,0.9,Proof-of-principle of NF1 gene therapy in plexiform neurofibroma xenograft mouse models,Title explicitly mentions 'xenograft mouse models' - these are patient-derived xenograft models,,AI validation - Sonnet 4.5,0,0,,
566d7d5c-ea9f-422b-b071-70a0450f989d,,,,,,,,,,,,,Primary human vestibular schwannomas,PMID:38216587,,Epigenetic reprogramming shapes the cellular landscape of schwannoma,methods,1.0,Primary human vestibular schwannomas were cultured as previously described. Tumors were collected from the operating room,Patient-derived primary cell culture not caught,,AI validation - Sonnet 4.5,0,0,,
16f67db2-4dd3-46c5-8a7c-72dcf4c5be67,,,,,,,,,,,,,patient-derived xenografts,PMID:37410426,,"CDK4/6-MEK Inhibition in MPNSTs Causes Plasma Cell Infiltration, Sensitization to PD-L1 Blockade, and Tumor Regression",abstract,0.98,"Antitumor activity of CDK4/6 and MEK inhibitors was measured in MPNST cell lines, patient-derived xenografts (PDX), and de novo mouse MPNSTs",Standard PDX terminology should have been detected by patient-derived model patterns,,AI validation - Sonnet 4.5,0,0,,
92b7296b-8bc8-42f8-8ec6-76bbf818e50e,,,,,,,,,,,,,PDX,PMID:37410426,,"CDK4/6-MEK Inhibition in MPNSTs Causes Plasma Cell Infiltration, Sensitization to PD-L1 Blockade, and Tumor Regression",abstract,0.98,dual CDK4/6-MEK inhibition slowed tumor growth in 4 of 5 MPNST PDXs,PDX abbreviation is standard terminology for patient-derived xenografts,,AI validation - Sonnet 4.5,0,0,,
bad8f7c6-db84-4fad-b482-ade3471cd07a,,,,,,,,,,,,,JH-2-031 MPNST PDX,PMID:37616542,,"Pro-905, a Novel Purine Antimetabolite, Combines with Glutamine Amidotransferase Inhibition to Suppress Growth of Malignant Peripheral Nerve Sheath Tumor",methods,1.0,JH-2–031 MPNST PDX specimens at mouse passage 3 were obtained from the JH NF1 Biospecimen Repository,PDX model naming not recognized despite explicit PDX context,,AI validation - Sonnet 4.5,0,0,,
be785a15-6cb9-4466-b232-2e450b5fb6dc,,,,,,,,,,,,,NF1-MPNST PDX models,PMID:33591953,,Chromosome 8 gain is associated with high-grade transformation in MPNST.,methods,1.0,we developed a collection of NF1-MPNST patient-derived xenografts (PDX),Patient-derived xenograft models not detected as tools,,AI validation - Sonnet 4.5,0,0,,
f1ef0881-c60c-4632-86ef-fc3952a621cb,,,,,,,,,,,,,T265 xenograft model,PMID:36322658,,Single-cell multiomics identifies clinically relevant mesenchymal stem-like cells and key regulators for MPNST malignancy.,methods,1.0,"NF1-associated MPNST cell line, T265, was infected by nontarget control or lentiviral vectors carrying ZEB1 shRNA lentivirus for 48 hours. Infected T265 cells (1 × 10 6) resuspended in Matrigel (Corning) and DMEM/10% FBS at 1:2 ratio were injected subcutaneously into the flanks of nude mice",Human MPNST cell line xenograft model not detected,,AI validation - Sonnet 4.5,0,0,,
f50b80bb-1f9b-43df-8929-2fc5a1adf07e,,,,,,,,,,,,,NPE-MPNST allograft model,PMID:36322658,,Single-cell multiomics identifies clinically relevant mesenchymal stem-like cells and key regulators for MPNST malignancy.,methods,1.0,Primary NPE-MPNST cells from sciatic nerves were dissociated as above. Tumor cells within two passages were used in the study. Tumor cells (5 × 10 5) diluted in Matrigel (Corning) and DMEM/10% FBS at 1:2 ratio were injected subcutaneously into the flanks,Primary tumor cell allograft model not detected,,AI validation - Sonnet 4.5,0,0,,
1a5408de-bbe8-4979-bb24-256519de46bb,,,,,,,,,,,,,WU-386,PMID:36799629,,MEK Inhibition Synergizes with TYK2 Inhibitors in NF1-Associated Malignant Peripheral Nerve Sheath Tumors.,methods,1.0,The WU-386 PDX line was generated previously and maintained through passage in mice,PDX model identifier not caught,,AI validation - Sonnet 4.5,0,0,,
a9273338-7e4e-4d4f-bbb5-1518ec52482f,,,,,,,,,,,,,Human MPNST xenograft model,PMID:38502231,,STING activation reprograms the microenvironment to sensitize NF1-related malignant peripheral nerve sheath tumors for immunotherapy.,methods,1.0,Surgically resected metastatic MPNST tissue was subcutaneously transplanted into nude mice to generate a xenograft model,Patient-derived xenograft model not recognized,,AI validation - Sonnet 4.5,0,0,,
89a10bbe-8ca0-46ae-a5ae-cc539e9eb2bd,,,,,,,,,,,,,MPNST-4 PDX,PMID:39269317,,MEK Inhibitors Lead to PDGFR Pathway Upregulation and Sensitize Tumors to RAF Dimer Inhibitors in NF1-Deficient Malignant Peripheral Nerve Sheath Tumor.,methods,1.0,we grafted an NF1-deficient MPNST PDX into SCID mice and treated them with ripretinib and trametinib,Patient-derived xenograft model not detected,,AI validation - Sonnet 4.5,0,0,,
737042c7-d1cf-4aa9-9225-def5c40258f9,,,,,,,,,,,,,MPNST-2 PDX,PMID:39269317,,MEK Inhibitors Lead to PDGFR Pathway Upregulation and Sensitize Tumors to RAF Dimer Inhibitors in NF1-Deficient Malignant Peripheral Nerve Sheath Tumor.,methods,1.0,"To study the in vivo efficacy of the drug combination, the MPNST-2 PDX was grafted into SCID mice",Patient-derived xenograft model not detected,,AI validation - Sonnet 4.5,0,0,,
bb629a3c-ae53-4023-b15a-f9266577fcf2,,,,,,,,,,,,,heterotopic xenograft models,PMID:38714355,,MEK Inhibition Enhances the Antitumor Effect of Radiotherapy in NF1-Deficient Glioblastoma.,abstract,0.95,Heterotopic xenograft models displayed synergistic growth inhibition to mirdametinib combined with irradiation in NF1-deficient glioma xenografts,Xenograft model terminology not captured by current patterns,,AI validation - Sonnet 4.5,0,0,,
f5fca3ce-44e2-447d-b25e-a5d2e2932e06,,,,,,,,,,,,,NF1-deficient glioma xenografts,PMID:38714355,,MEK Inhibition Enhances the Antitumor Effect of Radiotherapy in NF1-Deficient Glioblastoma.,abstract,0.9,synergistic growth inhibition to mirdametinib combined with irradiation in NF1-deficient glioma xenografts but not in those with intact NF1,Specific xenograft model designation not detected,,AI validation - Sonnet 4.5,0,0,,
