_pmid,_doi,_publicationTitle,_year,_context,_confidence,_verdict,_usageType,name
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,,Experimental subjects were 8–12 week old 129T2/SvEmsJ::C57Bl/6NTac Nf1+/+ and Nf1+/- male and female mice that were generated via the F1 cross,0.95,Accept,Experimental Usage,129T2/SvEmsJ::C57Bl/6NTac Nf1+/+ and Nf1+/- mice
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,"three distinct, Nf1-deficient rat models to model NF-related breast cancer...The Nf1 inframe indel (Nf1-IF) rats have a 54bp deletion in exon 20",0.95,Accept,Experimental Usage,Nf1-IF rat model
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,The Nf1 premature stop indel (Nf1-PS) rats have an 8-bp deletion in exon 20 that introduces a premature stop codon,0.95,Accept,Experimental Usage,Nf1-PS rat model
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,The Nf1 in-frame premature stop indel (Nf1-IFPS) rats have a 57-bp deletion in exon 20 that results in a unique messenger RNA (mRNA) isoform,0.95,Accept,Experimental Usage,Nf1-IFPS rat model
PMID:20200958,10.1002/jbmr.42,Local low-dose lovastatin delivery improves the bone-healing defect caused by Nf1 loss of function in osteoblasts.,,...we assessed bone healing in the Nf1(ob) (-/-) conditional mouse model lacking Nf1 specifically in osteoblasts...,0.9,Accept,Experimental Usage,Nf1(ob) (-/-) conditional mouse model
PMID:20200958,10.1002/jbmr.42,Local low-dose lovastatin delivery improves the bone-healing defect caused by Nf1 loss of function in osteoblasts.,,...WT and mice were generated by crossing 2.3-kb α1(I) collagen-cre Nf1 flox/flox mice and Nf1 flox/flox mice...,0.85,Accept,Experimental Usage,2.3-kb α1(I) collagen-cre Nf1 flox/flox mice
PMID:20200958,10.1002/jbmr.42,Local low-dose lovastatin delivery improves the bone-healing defect caused by Nf1 loss of function in osteoblasts.,,"...crossing 2.3-kb α1(I) collagen-cre Nf1 flox/flox mice and Nf1 flox/flox mice, as described previously...",0.85,Accept,Experimental Usage,Nf1 flox/flox mice
PMID:38201517,10.3390/cancers16010089,Synergistic Suppression of NF1 Malignant Peripheral Nerve Sheath Tumor Cell Growth in Culture and Orthotopic Xenografts by Combinational Treatment with Statin and Prodrug Farnesyltransferase Inhibitor PAMAM G4 Dendrimers.,,Female NOD SCID (NOD.CB17-Prkdc/NCrCrl) mice from Charles River Laboratories were housed in barrier facilities designed for immune-compromised animals,0.95,Accept,Experimental Usage,NOD SCID mice (NOD.CB17-Prkdc/NCrCrl)
PMID:38201517,10.3390/cancers16010089,Synergistic Suppression of NF1 Malignant Peripheral Nerve Sheath Tumor Cell Growth in Culture and Orthotopic Xenografts by Combinational Treatment with Statin and Prodrug Farnesyltransferase Inhibitor PAMAM G4 Dendrimers.,,Initial range-finding studies employed female Balb/c mice (Taconic Laboratories),0.85,Accept,Experimental Usage,Balb/c mice
PMID:38201517,10.3390/cancers16010089,Synergistic Suppression of NF1 Malignant Peripheral Nerve Sheath Tumor Cell Growth in Culture and Orthotopic Xenografts by Combinational Treatment with Statin and Prodrug Farnesyltransferase Inhibitor PAMAM G4 Dendrimers.,,"Single-cell preparations of hepatocytes were prepared from male Sprague-Dawley rats (Harlan, Indianapolis, IN, USA)",0.8,Accept,Experimental Usage,Sprague-Dawley rats
PMID:32781282,10.1016/j.trsl.2020.08.001,Nf1 heterozygous mice recapitulate the anthropometric and metabolic features of human neurofibromatosis type 1.,,Nf1 heterozygous (Nf1+/-) mice accurately reflect the dominant inheritance of NF1 and are regularly employed as a model of NF1,0.95,Accept,Experimental Usage,Nf1+/- mice
PMID:32781282,10.1016/j.trsl.2020.08.001,Nf1 heterozygous mice recapitulate the anthropometric and metabolic features of human neurofibromatosis type 1.,,"Nf1 +/− mice were obtained from Tyler Jacks, Ph.D., (Massachusetts Institute of Technology, Cambridge, MA) and backcrossed 13 generations into the C57BL/6J strain",0.9,Accept,Experimental Usage,C57BL/6J strain
PMID:30617350,10.1038/s41596-018-0105-7,"A cerebellopontine angle mouse model for the investigation of tumor biology, hearing, and neurological function in NF2-related vestibular schwannoma.",,"Syngeneic immune-competent FVB/C57BL/6 mice, both male and female, 10–12 weeks old, are used for implantation of the mouse NF2 −/− Schwann cell line.",0.9,Accept,Experimental Usage,FVB/C57BL/6 mice
PMID:30617350,10.1038/s41596-018-0105-7,"A cerebellopontine angle mouse model for the investigation of tumor biology, hearing, and neurological function in NF2-related vestibular schwannoma.",,"immune-deficient mice (e.g., nude mice (nu/nu) or NOD SCID mice) should be used...We have successfully grown human HEI-193 in nude mice by following the same procedure.",0.85,Accept,Experimental Usage,nude mice (nu/nu)
PMID:30617350,10.1038/s41596-018-0105-7,"A cerebellopontine angle mouse model for the investigation of tumor biology, hearing, and neurological function in NF2-related vestibular schwannoma.",,"immune-deficient mice (e.g., nude mice (nu/nu) or NOD SCID mice) should be used.",0.85,Accept,Experimental Usage,NOD SCID mice
PMID:27956228,10.1053/j.gastro.2016.12.002,Genome-Wide CRISPR Screen Identifies Regulators of Mitogen-Activated Protein Kinase as Suppressors of Liver Tumors in Mice.,,"cells were injected into flanks of 6-8-week old, female, NCI Nu/Nu mice (Taconic) and monitored",0.85,Accept,Experimental Usage,NCI Nu/Nu mice
PMID:27956228,10.1053/j.gastro.2016.12.002,Genome-Wide CRISPR Screen Identifies Regulators of Mitogen-Activated Protein Kinase as Suppressors of Liver Tumors in Mice.,,p53 mice were crossed with Albumin-Cre mice (Jackson Laboratories),0.85,Accept,Experimental Usage,Albumin-Cre mice
PMID:24595234,10.1371/journal.pone.0090853,In vivo functional analysis of the human NF2 tumor suppressor gene in Drosophila.,,"crossed to female flies of the following genotype, y w Mer, and for each of these lines",0.9,Accept,Experimental Usage,y w Mer
PMID:24595234,10.1371/journal.pone.0090853,In vivo functional analysis of the human NF2 tumor suppressor gene in Drosophila.,,surviving 4/FM7; T80-Gal4 y w Mer hemizygous males over half of the total female offspring,0.85,Accept,Experimental Usage,4/FM7; T80-Gal4 y w Mer
PMID:21726432,10.1186/1741-7015-9-82,MIA is a potential biomarker for tumour load in neurofibromatosis type 1.,,...mice bearing conditional inactivation of NF1 in the developing limbs. These mice do not develop tumours but recapitulate aspects of NF1 bone dysplasia...,0.85,Accept,Experimental Usage,Nf1Prx1 mouse model
PMID:21726432,10.1186/1741-7015-9-82,MIA is a potential biomarker for tumour load in neurofibromatosis type 1.,,...The female Nf1flox mice were crossed to male Nf1flox heterozygous Prx1-Cre-positive males and the offspring genotyped...,0.8,Accept,Experimental Usage,Nf1flox mice
PMID:21726432,10.1186/1741-7015-9-82,MIA is a potential biomarker for tumour load in neurofibromatosis type 1.,,...The mice were continuously back-crossed to wild-type C57BL/6J to minimize the variation of genetic background...,0.85,Accept,Experimental Usage,C57BL/6J
PMID:19191334,10.1002/glia.20845,Microarray analyses reveal regional astrocyte heterogeneity with implications for neurofibromatosis type 1 (NF1)-regulated glial proliferation.,,Nf1 flox / ( flox Zhu et al. 2001 ) and Nf1 GFAP CKO ( Bajenaru et al. 2002 ) mice were generated as previously described and maintained on a C57Bl/6 background,0.9,Accept,Experimental Usage,Nf1 flox mice
PMID:19191334,10.1002/glia.20845,Microarray analyses reveal regional astrocyte heterogeneity with implications for neurofibromatosis type 1 (NF1)-regulated glial proliferation.,,Nf1 flox / ( flox Zhu et al. 2001 ) and Nf1 GFAP CKO ( Bajenaru et al. 2002 ) mice were generated as previously described and maintained on a C57Bl/6 background,0.9,Accept,Experimental Usage,Nf1 GFAP CKO mice
PMID:29402968,10.1038/s41598-018-20894-0,Integrating Functional Analysis in the Next-Generation Sequencing Diagnostic Pipeline of RASopathies.,,"To assess the effect of the VUSs on organismal phenotypes, zebrafish were used according to the methods previously described",0.9,Accept,Experimental Usage,zebrafish embryos
PMID:23225063,10.1002/ana.23793,Dopamine deficiency underlies learning deficits in neurofibromatosis-1 mice.,,Nf1 +/− GFAP CKO (CKO) with one non-functional Nf1 allele in all somatic cells and complete Nf1 loss in GFAP+ (glial) cells,0.9,Accept,Experimental Usage,Nf1 +/− GFAP CKO
PMID:23225063,10.1002/ana.23793,Dopamine deficiency underlies learning deficits in neurofibromatosis-1 mice.,,littermate control Nf1 flox/flox (CTL) mice were maintained on an inbred C57BL/6 background,0.9,Accept,Experimental Usage,Nf1 flox/flox
PMID:23225063,10.1002/ana.23793,Dopamine deficiency underlies learning deficits in neurofibromatosis-1 mice.,,mice were maintained on an inbred C57BL/6 background with ad libitum access to food and water,0.85,Accept,Experimental Usage,C57BL/6
PMID:21199799,10.1158/0008-5472.CAN-10-2732,Dose-dependent effects of focal fractionated irradiation on secondary malignant neoplasms in Nf1 mutant mice.,,"Nf1 +/− mice were generated as previously described ( − 11 ). In brief, Nf1 +/− mice maintained in the 129/Sv background ( − 12 ) were crossed with wild-type C57Bl/6 mice.",0.95,Accept,Experimental Usage,Nf1+/- mice
PMID:21199799,10.1158/0008-5472.CAN-10-2732,Dose-dependent effects of focal fractionated irradiation on secondary malignant neoplasms in Nf1 mutant mice.,,Nf1 +/− mice maintained in the 129/Sv background ( − 12 ) were crossed with wild-type C57Bl/6 mice.,0.85,Accept,Experimental Usage,129/Sv background
PMID:21199799,10.1158/0008-5472.CAN-10-2732,Dose-dependent effects of focal fractionated irradiation on secondary malignant neoplasms in Nf1 mutant mice.,,Nf1 +/− mice maintained in the 129/Sv background ( − 12 ) were crossed with wild-type C57Bl/6 mice.,0.85,Accept,Experimental Usage,C57Bl/6 mice
PMID:21439418,10.1016/j.bone.2011.03.760,Primary osteopathy of vertebrae in a neurofibromatosis type 1 murine model.,,"we report a novel murine NF1 model, Nf1(flox/-);Col2.3Cre(+) mice. These mice display short vertebral segments",0.95,Accept,Development,Nf1(flox/-);Col2.3Cre(+) mice
PMID:21439418,10.1016/j.bone.2011.03.760,Primary osteopathy of vertebrae in a neurofibromatosis type 1 murine model.,,Nf1 +/− mice were obtained from Dr. Tyler Jacks at the Massachusetts Institute of Technology,0.9,Accept,Experimental Usage,Nf1 +/− mice
PMID:21439418,10.1016/j.bone.2011.03.760,Primary osteopathy of vertebrae in a neurofibromatosis type 1 murine model.,,Nf1 flox/flox mice were provided by Dr. Luis Parada at the University of Texas Southwestern Medical Center,0.9,Accept,Experimental Usage,Nf1 flox/flox mice
PMID:21439418,10.1016/j.bone.2011.03.760,Primary osteopathy of vertebrae in a neurofibromatosis type 1 murine model.,,"Col2.3Cre transgenic mice were generated as described elsewhere. In this model, the 2.3 α1(I) Collagen promoter is used to selectively drive Cre expression",0.9,Accept,Experimental Usage,Col2.3Cre transgenic mice
PMID:21439418,10.1016/j.bone.2011.03.760,Primary osteopathy of vertebrae in a neurofibromatosis type 1 murine model.,,Col2.3Cre transgenic mice were crossed with ROSA26 reporter mice. LacZ staining was performed to assess Cre recombination,0.85,Accept,Experimental Usage,ROSA26 reporter mice
PMID:41022755,10.1038/s41467-025-63619-4,Development of an adeno-associated virus vector for gene replacement therapy of NF1-related tumors.,,"ST88-14, S462 and RHT92 cells were transfected with lentivirus carrying luciferase and 150,000 cells in 3 µl were implanted in the sciatic nerve of NSG mice (female, 6–10 weeks old)",0.95,Accept,Experimental Usage,NSG mice
PMID:30571760,10.1371/journal.pone.0208835,Neurofibromin haploinsufficiency results in altered spermatogenesis in a mouse model of neurofibromatosis type 1.,,"The NF1 mouse model used in this study has been described elsewhere. Dsk9 is a missense mutation in the GTPase-activating protein related domain of neurofibromin. Nf1Dsk9/+ (subsequently referred to as ""Nf1+/-"") mice were maintained on a mixed (C3HeB/FeJ x C57bl/6) background.",0.9,Accept,Experimental Usage,Nf1+/- mouse model
PMID:30571760,10.1371/journal.pone.0208835,Neurofibromin haploinsufficiency results in altered spermatogenesis in a mouse model of neurofibromatosis type 1.,,"Nf1Dsk9/+ (subsequently referred to as ""Nf1+/-"") mice were maintained on a mixed (C3HeB/FeJ x C57bl/6) background.",0.8,Accept,Experimental Usage,C3HeB/FeJ x C57bl/6 background
PMID:29408605,10.1016/j.neuroscience.2018.01.054,Nf2 Mutation in Schwann Cells Delays Functional Neural Recovery Following Injury.,,"P0SchΔ39-121 transgenic mice were obtained from Riken Bioresource Center (Tsukuba, Japan). P0SchΔ39-121 heterozygous mice express a dominant negative form of merlin",0.95,Accept,Experimental Usage,P0SchΔ39-121 transgenic mice
PMID:29408605,10.1016/j.neuroscience.2018.01.054,Nf2 Mutation in Schwann Cells Delays Functional Neural Recovery Following Injury.,,"WT FVB mice were obtained from Jackson Labs (Bar Harbor, ME).",0.85,Accept,Experimental Usage,FVB mice
PMID:21111000,10.1016/j.jneumeth.2010.10.021,A novel imaging-compatible sciatic nerve schwannoma model.,,"HEI-193 cells were trypsinized, rinsed, and implanted in 1 µl culture medium into the sciatic nerve of athymic mice (nu/nu, 5-week-old females; Cox 7 breeding facility, MGH)",0.9,Accept,Experimental Usage,athymic mice (nu/nu)
PMID:38931352,10.3390/ph17060685,PET Imaging of Neurofibromatosis Type 1 with a Fluorine-18 Labeled Tryptophan Radiotracer.,,"The triple mutant line from the vendor carries Trp53, Nf1, Suz12 mutations on chromosome 11 and develops tumors at approximately four months, which is similar to conditions found in human NF1 patients",0.9,Accept,Experimental Usage,"Trp53, Nf1, Suz12 triple mutant mice"
PMID:39996452,10.1111/cns.70287,Cas9 Mouse Model of Skull Base Meningioma Driven by Combinational Gene Inactivation in Meningeal Cells.,,"Twenty mice of Rosa26‐LSL‐Cas9 knockin were purchased from Jackson Laboratory (Strain #:024857, USA) and successfully bred in our lab.",0.95,Accept,Experimental Usage,Rosa26-LSL-Cas9 knockin mice
PMID:39996452,10.1111/cns.70287,Cas9 Mouse Model of Skull Base Meningioma Driven by Combinational Gene Inactivation in Meningeal Cells.,,"Twenty mice of Rosa26‐LSL‐Cas9 knockin were purchased from Jackson Laboratory (Strain #:024857, USA)",0.95,Accept,Experimental Usage,Jackson Laboratory Strain #024857
PMID:34935315,10.1117/1.JBO.26.12.125001,Analysis of muscle tissue in vivo using fiber-optic autofluorescence and diffuse reflectance spectroscopy.,,...two mouse models of genetic muscle disease: a type 1 neurofibromatosis (NF1) limb-mesenchyme knockout (Nf1Prx1-/-) and a muscular dystrophy mouse (mdx)...,0.9,Accept,Experimental Usage,Nf1Prx1-/-
PMID:34935315,10.1117/1.JBO.26.12.125001,Analysis of muscle tissue in vivo using fiber-optic autofluorescence and diffuse reflectance spectroscopy.,,...two mouse models of genetic muscle disease: a type 1 neurofibromatosis (NF1) limb-mesenchyme knockout (Nf1Prx1-/-) and a muscular dystrophy mouse (mdx)...,0.85,Accept,Experimental Usage,mdx
PMID:34935315,10.1117/1.JBO.26.12.125001,Analysis of muscle tissue in vivo using fiber-optic autofluorescence and diffuse reflectance spectroscopy.,,...the NF1 mice bred from the Nf1Prx1−/− Prx1-Cre transgenic mice and the Nf1flox/flox mice...,0.85,Accept,Experimental Usage,Nf1flox/flox
PMID:34935315,10.1117/1.JBO.26.12.125001,Analysis of muscle tissue in vivo using fiber-optic autofluorescence and diffuse reflectance spectroscopy.,,...the NF1 mice bred from the Nf1Prx1−/− Prx1-Cre transgenic mice and the Nf1flox/flox mice...,0.8,Accept,Experimental Usage,Prx1-Cre transgenic mice
PMID:34935315,10.1117/1.JBO.26.12.125001,Analysis of muscle tissue in vivo using fiber-optic autofluorescence and diffuse reflectance spectroscopy.,,"...The mdx mice (B10 mdx) were sourced from Australian Bioresources (ABR, Moss Vale)...",0.85,Accept,Experimental Usage,B10 mdx
PMID:34935315,10.1117/1.JBO.26.12.125001,Analysis of muscle tissue in vivo using fiber-optic autofluorescence and diffuse reflectance spectroscopy.,,...C57BL/6 mice (B6) and mice (NF1) were bred in-house at the Transgenic Facility...,0.8,Accept,Experimental Usage,C57BL/6 mice
PMID:8582272,10.1242/dev.121.11.3583,Neurofibromin-deficient fibroblasts fail to form perineurium in vitro.,,...generated cell cultures containing neurons. Schwann cells and fibroblasts from transgenic mouse embryos in which the type 1 neurofibromatosis gene was disrupted...,0.9,Accept,Experimental Usage,Nf1 transgenic mice
PMID:8582272,10.1242/dev.121.11.3583,Neurofibromin-deficient fibroblasts fail to form perineurium in vitro.,,C57BL/6J mice in which one allele of the NF1 gene has been targeted were generated as described elsewhere,0.85,Accept,Experimental Usage,C57BL/6J mice
PMID:33442015,10.1038/s41591-020-01193-6,Cabozantinib for neurofibromatosis type 1-related plexiform neurofibromas: a phase 2 trial.,,Genetically engineered Nf1 flox/flox ;PostnCre mice on a mixed C57BL/6 × 129/SV background were utilized for in vivo studies,0.95,Accept,Experimental Usage,Nf1 flox/flox ;PostnCre mice
PMID:29715273,10.1371/journal.pone.0196726,Neurofibromatosis type 2 tumor suppressor protein is expressed in oligodendrocytes and regulates cell proliferation and process formation.,,"NG2-EYFP mice, which carry a YFP fluorescent protein gene instead of a NG2 gene, are healthy and fertile and do not show any obvious phenotype",0.9,Accept,Experimental Usage,NG2-EYFP mice
PMID:29715273,10.1371/journal.pone.0196726,Neurofibromatosis type 2 tumor suppressor protein is expressed in oligodendrocytes and regulates cell proliferation and process formation.,,"Mice for cell cultures were obtained from breedings of C57Bl6/J mice (Janvier Labs, France)",0.85,Accept,Experimental Usage,C57Bl6/J mice
PMID:24509877,10.1038/onc.2013.506,MAF mediates crosstalk between Ras-MAPK and mTOR signaling in NF1.,,...were injected subcutaneously into the right flanks of 6 to 8-week-old female athymic nude (nu/nu) mice (Harlan),0.9,Accept,Experimental Usage,athymic nude (nu/nu) mice (Harlan)
PMID:23328114,10.18632/oncotarget.793,Genomic imbalance of HMMR/RHAMM regulates the sensitivity and response of malignant peripheral nerve sheath tumour cells to aurora kinase inhibition.,,Four-month-old male NOD/SCID mice were anesthetized with isofluorane and orthotopically implanted with 1 mm3 piece of explant tumour,0.9,Accept,Experimental Usage,NOD/SCID mice
PMID:21551250,10.1158/0008-5472.CAN-10-4577,Susceptible stages in Schwann cells for NF1-associated plexiform neurofibroma development.,,The NF1 flox/− mice are in a mixed genetic background of C57BL/6/Sv129 and have been described previously,0.95,Accept,Experimental Usage,NF1 flox/− mice
PMID:21551250,10.1158/0008-5472.CAN-10-4577,Susceptible stages in Schwann cells for NF1-associated plexiform neurofibroma development.,,"For conditional ablation of NF1, we used a tamoxifen-inducible Cre line, the PLPCre-ERT2 transgenic mice",0.9,Accept,Experimental Usage,PLPCre-ERT2 transgenic mice
PMID:21551250,10.1158/0008-5472.CAN-10-4577,Susceptible stages in Schwann cells for NF1-associated plexiform neurofibroma development.,,"The LacZ reporter mice, ROSA26R, were obtained from the Jackson Laboratories",0.85,Accept,Experimental Usage,ROSA26R
PMID:37520682,10.1016/j.omtn.2023.06.018,Combining nonsense mutation suppression therapy with nonsense-mediated decay inhibition in neurofibromatosis type 1.,,Generation of NF1 NS/+ minipigs Generation of a swine nonsense mutation model of NF1 followed a similar strategy as previously described.,0.95,Accept,Development,NF1 NS/+ minipigs
PMID:34040258,10.1038/s41586-021-03580-6,NF1 mutation drives neuronal activity-dependent initiation of optic glioma.,,"Nf1^fl/fl, OPG Nf1^fl/mut (Nf1+/-) and Nf1 (wild-type) mice were previously generated",0.9,Accept,Experimental Usage,Nf1^fl/fl mice
PMID:34040258,10.1038/s41586-021-03580-6,NF1 mutation drives neuronal activity-dependent initiation of optic glioma.,,"Nf1^fl/fl, OPG Nf1^fl/mut (Nf1+/-) and Nf1 (wild-type) mice were previously generated",0.9,Accept,Experimental Usage,OPG Nf1^fl/mut (Nf1+/-) mice
PMID:34040258,10.1038/s41586-021-03580-6,NF1 mutation drives neuronal activity-dependent initiation of optic glioma.,,"Thy1::ChR2-YFP (line 20) and Nlgn3^KO mice were acquired from the Jackson Laboratory (012350 and 008394, respectively)",0.9,Accept,Experimental Usage,Thy1::ChR2-YFP mice (line 20)
PMID:34040258,10.1038/s41586-021-03580-6,NF1 mutation drives neuronal activity-dependent initiation of optic glioma.,,"Thy1::ChR2-YFP (line 20) and Nlgn3^KO mice were acquired from the Jackson Laboratory (012350 and 008394, respectively)",0.9,Accept,Experimental Usage,Nlgn3^KO mice
PMID:21949590,10.2478/v10134-010-0025-8,ALTERED CALCIUM CURRENTS AND AXONAL GROWTH IN Nf1 HAPLOINSUFFICIENT MICE.,,Mice heterozygous for the Nf1 mutation on a background of C57BL/6J were originally developed by Dr. Tyler Jacks,0.95,Accept,Experimental Usage,Nf1+/- mice
PMID:21949590,10.2478/v10134-010-0025-8,ALTERED CALCIUM CURRENTS AND AXONAL GROWTH IN Nf1 HAPLOINSUFFICIENT MICE.,,Wildtype C57BL/6J and Nf1 mice littermates were housed and bred in the Indiana University Laboratory Animal Research Center,0.9,Accept,Experimental Usage,C57BL/6J mice
PMID:37164978,10.1038/s41467-023-38432-6,Multiplatform molecular profiling uncovers two subgroups of malignant peripheral nerve sheath tumors with distinct therapeutic vulnerabilities.,,Immunodeficient NOD-Rag1 null IL2rg mice (The Jackson Laboratory) received approximately 3 million cells via subcutaneous flank injection.,0.9,Accept,Experimental Usage,NOD-Rag1 null IL2rg mice
PMID:37164978,10.1038/s41467-023-38432-6,Multiplatform molecular profiling uncovers two subgroups of malignant peripheral nerve sheath tumors with distinct therapeutic vulnerabilities.,,non-obese diabetic severe combined immune deficiency spontaneous male mice (NOD-SCID-Prkdc scid) received 5 × 10^6 cells,0.9,Accept,Experimental Usage,NOD-SCID-Prkdc scid mice
PMID:25772366,10.1016/j.celrep.2015.02.041,Mouse low-grade gliomas contain cancer stem cells with unique molecular and functional properties.,,"Optic chiasm was microdissected from 3-month-old Nf1 flox/flox, Nf1 +/− and Nf1 +/− GFAP CKO mice to generate primary optic nerve neurospheres",0.9,Accept,Experimental Usage,Nf1 flox/flox
PMID:25772366,10.1016/j.celrep.2015.02.041,Mouse low-grade gliomas contain cancer stem cells with unique molecular and functional properties.,,"Optic chiasm was microdissected from 3-month-old Nf1 flox/flox, Nf1 +/− and Nf1 +/− GFAP CKO mice to generate primary optic nerve neurospheres",0.9,Accept,Experimental Usage,Nf1 +/−
PMID:25772366,10.1016/j.celrep.2015.02.041,Mouse low-grade gliomas contain cancer stem cells with unique molecular and functional properties.,,"Optic chiasm was microdissected from 3-month-old Nf1 flox/flox, Nf1 +/− and Nf1 +/− GFAP CKO mice to generate primary optic nerve neurospheres",0.9,Accept,Experimental Usage,Nf1 +/− GFAP CKO
